hashtag,frequency
#Obamacare,6824
#tcot,5151
#TaxReform,4472
#SOTU,4464
#taxreform,3382
#utpol,3241
#VA10,2311
#jobs,2246
#TaxCutsandJobsAct,2202
#IA03,2144
#4jobs,2063
#veterans,1880
#smallbiz,1861
#SCOTUS,1723
#mepolitics,1723
#BetterWay,1567
#SmallBiz,1545
#IRS,1531
#Iran,1507
#Ohio,1364
#Senate,1353
#IranDeal,1342
#KeystoneXL,1335
#ObamaCare,1322
#IA01,1308
#AZ05,1299
#ar4,1219
#NDAA,1178
#BetterOffNow,1151
#TBT,1148
#sayfie,1124
#GOP,1101
#VeteransDay,1039
#,1018
#FarmBill,1005
#AR3,995
#Syria,972
#NY21,957
#AL03,947
#idpol,940
#WOTUS,929
#FF,928
#healthcare,916
#MAGA,895
#Harvey,889
#CuresNow,875
#ISIS,856
#NeverForget,849
#SchumerShutdown,829
#opioidcrisis,822
#NE03,800
#EPA,798
#MidnightTexas,789
#immigration,783
#VA,771
#MemorialDay,770
#ICYMI,767
#Veterans,766
#VA06,747
#energy,745
#sctweets,739
#Venezuela,734
#gapol,728
#Benghazi,703
#MTpol,695
#1,690
#Texas,688
#TaxDay,667
#alpolitics,665
#ProLife,663
#Congress,637
#POTUS,626
#Cures2015,624
#txgop,623
#Israel,612
#toomey,608
#ncpol,602
#NY22,594
#txcot,592
#budget,589
#OnThisDay,584
#arnews,583
#nmpol,582
#arpx,578
#SoFla,573
#OTD,567
#AHCA,562
#SmallBusinessWeek,560
#GA10,557
#NorthDakota,555
#IL16,553
#MTgov,544
#bipartisan,542
#PuertoRico,540
#prolife,539
#TX23,538
#tn03,533
#NorthKorea,531
#Obama,530
#MI06,527
#TaxCutsAndJobsAct,526
#STEM,522
#OHSen,522
#gop,512
#Russia,510
#TN04,510
#PlannedParenthood,509
#Cuba,507
#Florida,502
#NV,502
#OH12,495
#China,492
#Arkansas,491
#NJ03,491
#NY27,487
#JointAddress,478
#ENDALZ,478
#DC,467
#HurricaneHarvey,466
#NC10,465
#AZ08,464
#Sayfie,462
#ncsen,461
#WV,458
#tbt,455
#infrastructure,455
#Irma,452
#DDay,445
#TN06,443
#opioid,437
#2A,434
#DACA,432
#WA04,431
#OH14,426
#OpioidCrisis,424
#copolitics,424
#NC06,421
#PA,419
#agriculture,416
#TX,416
#sestak,416
#NationalPoliceWeek,415
#2018FarmBill,410
#ALSEN,409
#FY18NDAA,401
#politics,398
#Zika,396
#Nicaragua,396
#KY6,395
#IN08,393
#GA12,392
#MI07,390
#RightToTry,389
#CA08,387
#PearlHarbor,386
#SubHealth,383
#HurricaneIrma,383
#Alaska,383
#TimeToBuild,381
#Florence,379
#RepealAndReplace,374
#Alabama,374
#pasen,374
#CTE,372
#USA,371
#99CountyTour,369
#HurricaneFlorence,367
#OHGov,367
#Idaho,367
#opioidepidemic,358
#trade,356
#CA45,355
#Lou4Senate,354
#WWII,353
#BREAKING,353
#TX22,352
#DoddFrank,350
#OH16,349
#Jobs,345
#TX32,344
#ConstitutionDay,343
#TPA,342
#HurricaneMichael,339
#economy,339
#LA05,339
#tn,333
#Ukraine,330
#teaparty,329
#ag,328
#NAFTA,328
#SBAIgniteTour,326
#SESTA,323
#EndTrafficking,322
#Path2Cures,322
#AZ,321
#IndependenceDay,319
#Arizona,314
#CHIP,312
#MLKDay,310
#FlagDay,307
#FindYourPark,307
#GA09,306
#SmallBusiness,304
#99countymeetings,304
#TX25,303
#WRRDA,302
#mtpol,300
#IN05,300
#GreatLakes,297
#AL,297
#Agriculture,295
#cybersecurity,293
#ACA,293
#SenateMustAct,292
#TX24,291
#WomensHistoryMonth,288
#SaveMidnightTexas,287
#SmallBusinessSaturday,283
#Gitmo,283
#Ortega,281
#LastSOTU,280
#SemperFi,278
#Constitution,278
#vets,277
#Yes2Energy,276
#CongressionalArtCompetition,275
#Ag,275
#OH15,275
#DefundPP,272
#Georgia,271
#Medicare,271
#Ebola,267
#Thanksgiving,266
#TeamUSA,265
#education,265
#STOPAct,263
#dfw,262
#ShopSmall,259
#MarchForLife,259
#SFRC,254
#BrokenPromises,253
#veteran,252
#Afghanistan,252
#PA03,252
#LawEnforcementAppreciationDay,250
#MarchMadness,250
#SchoolChoice,250
#FAA,249
#AZSEN,248
#ConfirmKavanaugh,244
#FarmBill18,244
#FY19NDAA,244
#GOPDebate,243
#Nebraska,243
#OpioidEpidemic,242
#Obamacare's,242
#specter,242
#HASC,241
#PoliceWeek,239
#JobsReport,239
#hcr,238
#Missouri,237
#manufacturing,233
#debt,232
#AL06,232
#NationalDayofPrayer,231
#MobileOffice,231
#4Jobs,228
#Keystone,228
#NationalAgDay,225
#CARA,224
#wvpol,224
#scnews,223
#NE02,222
#Smallbiz,222
#Nevada,222
#READ,221
#farmers,220
#Pennsylvania,220
#FL26,219
#NoNuclearIran,218
#BackToOurRoots,218
#WickerReport,218
#VA05,217
#ia03,216
#nesen,216
#OH5,216
#WhyWeMarch,215
#REINSAct,215
#shutdown,215
#WRDA,214
#sassywithmassie,214
#pjnet,213
#smallbusiness,211
#WI08,210
#TX14,208
#FastandFurious,208
#NCSen,207
#MO4,206
#VAaccountability,205
#NationalFarmersDay,205
#US,205
#LaborDay,204
#NDSen,204
#SubCommTech,204
#farmbill,203
#SubEnergy,203
#al2,202
#obamacare,201
#PJNET,201
#FairnessForAll,200
#TeamComer,200
#humantrafficking,199
#NESen,198
#opioids,197
