i_idx	j_idx	xij
639	640	3.25
639	639	1.0
639	16	1.3333333333333333
639	28	0.75
639	1503	2.4833333333333334
639	12	0.5333333333333333
639	399	0.25
639	205	0.5
639	42	0.3333333333333333
639	320	0.2
640	639	3.25
640	16	0.5
640	28	0.3333333333333333
640	1503	1.8166666666666664
640	399	0.2
640	12	0.95
640	205	1.5
640	42	1.5
640	640	0.6666666666666666
640	320	1.25
640	499	0.25
640	6	0.2
16	639	1.3333333333333333
16	640	0.5
16	28	1.45
16	1503	74.01666666666672
16	12	2.6166666666666663
16	5	1.9333333333333331
16	915	0.3333333333333333
16	916	0.5
16	114	1.0
16	68	4.0
16	3	6.783333333333333
16	42	0.5333333333333333
16	4	4.45
16	240	0.5333333333333333
16	499	0.25
16	399	0.3333333333333333
16	0	14.133333333333333
16	19	0.5
16	320	0.25
16	959	0.2
16	9	3.8333333333333335
16	145	0.5
16	36	1.7
16	13	2.8666666666666667
16	52	0.75
16	14	0.5833333333333333
16	335	0.5
16	411	1.0
16	701	3.0
16	217	1.6666666666666665
16	215	0.25
16	518	0.2
16	61	0.2
16	979	0.3333333333333333
16	2	3.5
16	704	1.0
16	980	2.0
16	276	0.5
16	118	1.2
16	65	0.4
16	983	0.25
16	948	0.3333333333333333
16	338	1.0
16	157	0.2
16	37	0.45
16	8	4.8999999999999995
16	712	0.3333333333333333
16	993	0.5
16	316	1.5
16	60	0.7
16	57	1.25
16	84	0.5
16	85	1.0
16	718	2.0
16	167	1.0
16	120	1.0
16	538	0.2
16	98	0.5833333333333333
16	552	0.25
16	1029	0.2
16	1030	0.3333333333333333
16	553	0.5
16	731	0.5
16	18	0.7833333333333333
16	15	0.9
16	17	0.7833333333333333
16	1033	0.25
16	130	0.8333333333333333
16	1034	1.0
16	484	1.0
16	1035	0.5
16	70	0.25
16	20	0.6666666666666666
16	34	1.3333333333333333
16	1063	0.3333333333333333
16	435	0.25
16	93	0.3333333333333333
16	571	1.0
16	331	4.0
16	418	0.45
16	1096	0.3333333333333333
16	442	1.0
16	213	0.5333333333333333
16	226	0.25
16	159	0.3333333333333333
16	50	0.5
16	287	2.5
16	577	0.3333333333333333
16	1041	0.25
16	48	0.7333333333333334
16	184	0.5
16	763	2.0
16	211	0.5
16	272	0.3333333333333333
16	1102	0.2
16	21	1.2
16	580	1.3333333333333333
16	337	1.0
16	7	2.2
16	264	0.3333333333333333
16	1089	0.2
16	1	2.1166666666666663
16	174	0.3333333333333333
16	1130	1.0
16	589	0.5
16	359	0.6666666666666666
16	270	0.2
16	89	0.5833333333333333
16	216	0.5
16	23	2.0
16	1045	0.5
16	54	0.5333333333333333
16	495	0.3333333333333333
16	147	1.0
16	449	4.0
16	1165	1.0
16	223	3.0
16	31	0.2
16	562	0.25
16	55	0.5
16	237	0.3333333333333333
16	1179	0.2
16	522	0.2
16	100	0.5833333333333333
16	160	1.0
16	521	0.3333333333333333
16	101	0.25
16	6	5.133333333333334
16	189	0.2
16	265	0.5333333333333333
16	235	0.5
16	416	0.25
16	793	0.2
16	688	1.0
16	433	1.0
16	452	0.5
16	47	0.2
16	10	1.4
16	1221	0.25
16	1222	0.25
16	503	0.3333333333333333
16	1230	0.5
16	537	0.8333333333333333
